Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_S6Q7NKA3	0.0454204091195521	0	0.0798369340823928	0.00365253166176433	0	0.0332054566592602	0	0.0156480936119161	0	0	0	0.0268035261035489	0.0105742893818301	0	0	0.16339350952576	0	0	0.0589726501921893	0	0.00249259966178656	0	9999	0.187755325613174	1.02046369908541	0.44
BS_09Z7TC35	0.0149190012719909	0	0.00601798319661526	0.0103820568712019	0	0.00203778180856395	0	0.00249275935679539	0.00818708345792161	0	0.00146455521350052	0	0	0.025393724904453	0	0.0691050539189575	0	0	0	0	0	0	9999	-0.032809905769355	1.13510895424472	0.14
BS_1AYRM596	0	0	0	0.010934714326041	0	0.0333297585766541	0	0.0179294775780869	0	0	0	0.0182921036732762	0.0159827095883619	0	0.000280640724426675	0.13243512272187	0	0	0	0.0808154728112827	0	0	9999	-0.0286597399302065	1.13875926485199	0.31
BS_1BWP5MCT	0.0124435855435274	0	0	0	0.0186959087508909	0	0	0.0654570538857724	0	0	0.0211406940966413	0.0181113616157358	0.00975760679394615	0	0	0.0743937893134861	0	0	0	0	0	0	9999	-0.0697475465951375	1.13209219404907	0.22
BS_1QXEC43H	0	0.0100569889681511	0.00592525266316339	0.0192154852596641	0.00370784318753919	0.00141952666471654	0	0.0177508314542337	0	0	0	0	0.00374503112912611	0	0.000905354367600865	0.182487726844553	0	0	0.0347859594612515	0	0	0	9999	-0.0442343076403489	1.13778160509209	0.28
BS_1TWCV047	0.0099388886881756	0	0.00033480562080221	0	0	0.0653432122328537	0	0.0520204737074276	0	0	0.0163618579258287	0	0.00145210636481651	0	0	0.13104477287602	0	0	0	0.0350068897410146	0	0.0384969928430608	9999	-0.0678184712100561	1.1184432591987	0.35
BS_2SFTWNVE	0	0.00320891940734526	0	0	0	0.0562030328937856	0	0.0292337504831496	0	0	0	0.0233705930382642	0.0165359996812444	0	0	0.148912624578096	0	0	0.019119734410793	0	0	0.00341534550732187	9999	-0.0472587548647397	1.11652569711877	0.3
BS_2Z1MKS84	0	0.0492669941183888	0	0.0240064059901689	0.0274395932932977	0	0	0.0220206118797571	0.00385462687715012	0	0	0.00221510706527564	0.0575151210149649	0.0820604573384767	0.00825792324387111	0.0929384084164363	0	0	0.130201723366749	0	0.0102230273954637	0	9999	-0.0485713249379882	1.10148345440359	0.51
BS_3BDAG9YN	0.00668790975735867	0	0.00111218932328406	0	0.0148556042387193	0.018215691733912	0	0.00640810291566831	4.78049254637216e-05	0	0.00910952931660813	0.0112076575582066	0.0108374229414808	0.113148965185035	0.00700508646260146	0.130932489289542	0	0	0.000431546352119372	0	0	0	9999	0.124070064899388	1.08244140165669	0.33
BS_3F5PR9GS	0	0	0	0	0.0195019090362153	0.0146456442464364	0	0.00461574658198754	0	0.00662797749982583	0	0	0.00298209599046366	0	0	0.10914199639049	0	0	0.0322254926973559	0	0.000259137557225483	0	9999	-0.0531652808655792	1.12986555844943	0.19
