Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_3MYEMXPQ	0.0864864752937573	0	0.00769194539552244	0.00700200812310354	0	0.0950807660344351	0	0.00811420740465415	0	0	0	0.0344355813263462	0.0933482686248791	0.010072009336257	0	0.0432152515524452	0	0.0062838710790712	0	0.136792232405114	0	0.481477383424414	9999	0.0778001008444162	1.16390884433301	1.01
BS_3NWQXPQV	0	0.0146414403804466	0.000453103695851134	0.00795160344486445	0	0.0352542466610946	0	0.0873028399936001	0	0	0.0309160835228014	0	0.0367297288834927	0.0272171004646459	0	0	0.000688877956039856	0	0.0229067084383851	0	0.00225156977960304	0.0136866967791751	9999	-0.0368319795395083	1.11024728006309	0.28
BS_3V3KE3VT	0	0.000650596630363232	0	0.00251492530594248	0	0.0960856064608081	0	0	0	0	0.00536104324117877	0.0101042938778294	0.0600933049445459	0.0741917124355496	0.00113108650645682	0.0465527296104527	0	0	0.120458910071342	0	0.00661422278248746	0.00624156813304319	9999	-0.0380584679443738	1.10417077849503	0.43
BS_44A3ES23	0	0.0247932242201944	0.0114873376687168	0	0.0429401904362889	0	0	0.044284249583395	0	0	0.000963469715969243	0.014183182033078	0	0.0014539538639375	0	0.115753915325862	0	0	0	0.014140477152558	0	0	9999	-0.0589706881659137	1.11464776406628	0.27
BS_4CP4T22V	0	0.00234165329108305	0.00202828574958982	0	0	0.0306502306699527	0.00439839421275458	0.0327328843463585	0.00555000358890671	0	0.00913520081740107	0.00487435928387984	0.0255852348103566	0.0119442310312795	0.000694732949043499	0	0	0.000404816719207376	0.00157077190972568	0	0	0.00808920062046111	9999	-0.0318145255683836	1.11531396961994	0.14
BS_4D9DD103	0	0.00540967843993538	0.00433970165955302	0.00592063720328825	0	0	0	0.0241449571888748	0	0	0	0.0145465034987765	0.00183949052385487	0.0233161931408574	0	0.0335902941940835	0	0	0.00689254415077631	0	0	0	9999	-0.0380635367702039	1.11015197209516	0.12
BS_4PH1MBGR	0	0.00451517210682577	0	0	0.00772018936658773	0.0206487058219239	0	0.0149320387335393	0	0	0	0.00715660084987452	0.00759303734645305	0.0138602295193873	0	0.114845978666923	0	0	0.0187280475884852	0	0	0	9999	-0.0474405402600796	1.12797097297435	0.21
BS_4W68NV3M	0.00629909904013672	0	0	0	0	0.0773082550277313	0	0.0499460921085173	0	0	0	0.0339186355055832	0.00823604553504561	0	0	0.136819218586892	0	0	0.0530501112303892	0	0	0.00442254296570485	9999	-0.0516217505437226	1.1066925068817	0.37
BS_5PJCHF6V	0.000385271237353991	0.00142470665997426	0	0.0072360853137378	0	0.109948763887177	0	0.0159458170901706	0.00304247530022575	0	0.000490226103794883	0.0108190888672864	0.0223348672987296	0	0.00510878469639578	0.0842222253270014	0	0	0.0340211830253263	0	0.00502050519282646	0	9999	-0.0317681859222815	1.09793243008465	0.3
BS_5VQP0E6K	0	0.00176538894594938	0.0108527227526253	0.00543851637793804	0	0.00240093301537136	0	0.0354772107814797	0	0	0	0.0133702660225985	0.00888165523089503	0	0	0.160837242170175	0	0	0	0.000976064702967391	0	0	9999	-0.0354209175953248	1.14262970208926	0.24
BS_61E80SD6	0	0.0244566436399352	0.005697030771024	0.0187183076630805	0	0.0520190589581171	0	0.0830066240835572	0.00516679418754578	0	0	0.011446153775492	0.0230663714722144	0.0610060225321703	0	0	0	0	0.0393812608078458	0	0.00188125897221787	0.00415447313679982	9999	-0.0347229765903265	1.10529971542052	0.33
BS_77317DY4	0	0.0628022216678256	0.0320113089230445	0.0256044722707877	0.0248420294863617	0	0	0.0651875696518768	0	0	0.00957704482967767	0	0.0117882698917905	0.0985685344221489	0	0	0	0.000654292470185656	0.0434903495753596	0	0	0.0554739068109414	9999	-0.0355031950583396	1.10586801827456	0.43
BS_7C40TRCY	0	0	0	0.0403561963472699	0.0162667049751384	0	0	0.0134322999570954	0	0.0178950214921501	0	0.00677375584570517	0	0	0	0.237277485237654	0	0	0.105694771054652	0	0.00230376509033495	0	9999	-0.0189377484816597	1.11513776128076	0.44
BS_7FWZ518S	0.00287042384843091	0	0	0.0415418707839407	0	0.154164549846669	0	0.0466788755303018	0	0	0.00950492441837404	0.0514631816808768	0.0418561703193779	0	0.0066780275813492	0.129107196786051	0	0	0	0.0246903014449327	0.0114444777596958	0	9999	-0.00782219820029532	1.10491570936854	0.52
BS_7XQRH69M	0	0	0.000558104151254983	0	0.0202754020589231	0.0196674712599497	0	0.0082635657840734	0.000574766698107473	0	0	0.00520288764804095	0.00983720713699684	0	0	0.138627155715685	0.00168507370586152	0	0.0733507402726565	0	0.00195762556845078	0	9999	-0.0371824203498737	1.11959205756068	0.28
BS_81SP2HX4	0	0.000235010444790467	0.000503542354036952	0	0	0.0971844475868369	0	0.0192734487521335	0	0	0.00703096710446463	0.0127205353588387	0.0324720257124761	0	0	0.0768802259501079	0	0	0.00983100736062299	0	0.00386878937569185	0	9999	-0.0259811543615306	1.10269498604029	0.26
BS_8GW1TMV2	0.00117750601614817	0	0.0027887512953987	0.164375086532805	0	0.0766224112372637	0	0.0445875722544497	0	0.0397022357504334	0	0.0236282010312797	0.00735744614116045	0	0.0214367209208398	0.266415079553027	0	0	0.0219089892671943	0	0	0	9999	-0.0121565664710972	1.10898927670977	0.67
BS_8T7DZV2F	0.0390183826139839	0	0.049841187211372	0.0438099742236846	0.0444225403347	0.10027753002986	0	0	0	0	0.0462956561898436	0	0.0121459990100296	0.115630694691337	0.0161473640410652	0.442278059810735	0	0	0	0.01013261184339	0	0	9999	0.152698122059968	1.03782891849903	0.92
BS_9M5XJ10G	0	0	0.000200206722645131	0.043467834947124	0	0.0467585723814444	0	0.0199870729289928	0	0	0	0.0133879384727425	0.012412586779394	0	0	0.0935277689692951	0	0	0.00631292935089348	0	0.0139450894474686	0	9999	-0.0350164322433504	1.11021415540061	0.25
BS_9NJHQE9F	0	0	0.00010552897440734	0.0351362059591371	0	0.0371969968316217	0	0.0333527306969825	0.00016284765724417	0	0	0.00667112303389889	0.0102273182924261	0.0255600129399662	4.69246685054709e-05	0.0153746348730998	0	0	0.00437749291249041	0	0.0217881831602204	0	9999	0.0156099883431136	1.09739945944345	0.19
BS_9NZ2D6AD	0	0.00155119753240428	0	0.00183308975645826	0	0.0212432454843799	0	0.0180891473740663	0	0	0	0.00768268985069355	0.000565900508787934	0	0	0.100683332211477	0	0	0	0.0165086242284389	0	0.00184277305329406	9999	-0.0508956643709995	1.13870572900674	0.17
BS_9PB3XH5D	0.00891523594200092	0	0	0.00435071968901794	0	0.115591366927823	0	0.0578775964507855	0.0107975328244597	0	0	0.0416859525426373	0.0393063591361541	0.0124626589869798	0.00184584727492631	0.037120107547077	0.00195345075650037	0	0.0554419484911869	0	0.0226512234304512	0	9999	-0.0461733488287357	1.10838166802481	0.41
BS_9V633J1X	0	0.0127590852842268	0.0043587042787226	0.0132301783098401	0	0.0112077201073572	0	0.0170121942856474	0	0	0	0.00539264847250925	0.0043923549298714	0.00284804307916051	0	0.04932495301747	0	0	0.0226169013833091	0	0.00685721685188561	0	9999	-0.047701000036573	1.09113780600234	0.15
BS_A14Z8BBK	0	0.014660898460808	0	0	0	0.0223889077926634	0	0.00143924060179259	0	0	0.0245082197513772	0	0.00886568567924157	0	0	0.126036140582598	0	0	0.0521009071315197	0	0	0	9999	-0.0708297794773943	1.12589927082954	0.25
BS_A87NPZAP	0	0	8.521867535112e-05	0.00961527629115867	0	0.0567900154367922	0	0.049986444618447	0	0	0	0.0391300696237551	0.0148247395553167	0	0	0.0942970250448638	0	0	0	0.0486888570262404	0.00331344774430221	0.00326890598377284	9999	-0.0338692188971556	1.12030083927083	0.32
BS_AHEFXG7W	0	0	0	0.00474042433447218	0	0.0965609975123323	0	0.0588154631244495	0.0229264100649295	0	0.00175073630462505	0	0.036631326237851	0.119695435919814	0.0042624564601799	0.0845181053924534	0.000276307417178395	0	0.0384195709469671	0	0.0014027662847475	0	9999	-0.0272633542785411	1.10655147677776	0.47
BS_AM70R8RG	0	0	0.00292937013741729	0	0.0505923518229493	0	0	0.0402725065303735	0	0.0195994275256907	0	0.00731382040343451	0.000776239484354807	0.020979463461167	0	0	0	0	0.0470779733578483	0	0.000458847276764556	0	9999	-0.03408854902579	1.12458681178046	0.19
BS_AMZ70B6F	0.000560405536499942	0	4.92274382310788e-05	0.00936518473348785	0	0.0461146822996158	0	0.00656991114354341	0	0	0.00528889483748664	0.00527285402126578	0.0164008852378171	0	0	0.136957680885179	0.0019503442308906	0	0.0174213790127405	0	0.00404855062324269	0	9999	-0.0217019055914184	1.11174933107746	0.25
BS_BA6AZWB3	0.0505992060538126	0	0.0135935559216502	0.0236371653744928	0	0.034386777561121	0	0.0300617731993338	0	0	0.00415790114130764	0.00185229284043782	0.0135034990381989	0	0	0.291333161157361	0	0	0.0245996876668474	0	0	0.00227498004543658	9999	-0.0112208198686339	1.11227876376925	0.49
BS_BPWEFR89	9.22847799246822e-05	0	0.000488224818908428	0	0.00413313214450649	0.0562929633699462	0	0.01274626064178	0	0.0331266451847723	0	0.0102413459060052	0	0.0304437541459023	0	0.0322969018886905	0	0.00153058367578434	0.0783978100723328	0	0.000210093371446768	0	9999	-0.0613901696934018	1.12257448372214	0.26
BS_BSV07M7Z	0	0.00177325902564342	0.000160783086947859	0.0306950393505524	0	0	0	0.0174459984485088	0	0	0	0.0153255495405759	0.00440117910055915	0.00638514930004876	0.00103226207353944	0.0637695919921679	0	0	0	0.00901118808145629	0	0	9999	-0.0389354481141072	1.12232292822834	0.15
BS_BVSW4GTG	0.00479077502074842	0	0	0	0.00781691265337714	0	0	0.00974386388869448	0.00275147350236297	0.00666581515990065	0	0.00540288187145383	0.0164841194087805	0	0	0.139883162590478	0.00188837193244885	0	0.0775962246029361	0	0.00697639936881934	0	9999	-0.0341542777722317	1.12448562229634	0.28
BS_CHDGRYHJ	0	0	0.0236186777210833	0.0203247747589702	0	0.0624370239771395	0	0.0187953692053537	0	0	0	0.00691323691362461	0.0106811011640225	0	0	0.0948404219764315	0	0.000794554337447584	0.0104373516330386	0	0.0111574883128886	0	9999	-0.0218019673348533	1.09218081624921	0.26
BS_D144EJRQ	0.0126581202846618	0	0.00323900591508106	0	0	0.0455998291850054	0	0.0119402954172923	0.00643354350214997	0	0	0	0.00294653789118466	0.116116103709574	0	0.165152942795787	0	0	0.00591362129926439	0	0	0	9999	0.0178000606521071	1.13554027647716	0.37
BS_DFWFBYSN	0.00107124062319248	0	0	0.00841249620670353	0	0.0833573485454887	0	0.0113201053434944	0.000147960595416129	0	0	0.0211990837479847	0.0198423980444135	0.0132846402473898	0	0.050988083792401	0	0	0.0464334666593515	0	0.00394317619416421	0	9999	-0.0386832818050258	1.10011620727781	0.26
BS_E3BAT4C1	0	0.00539246516275719	0	0.024234147855494	0	0.0771311869440566	0	0.0212678164845338	0	0	0.0270478608576304	0	0.0188409307689166	0	0.00583984412882412	0.0802457477977873	0	0	0	0	0	0	9999	-0.0376407406641526	1.11438654282226	0.26
BS_EFE4YEK3	0	0	0	0	0	0.0219924707523873	0	0.00225406310615101	0.00319358190482709	0	0.00114182494877216	0.00866987379167395	0.0057708600144186	0	0	0.0445083633234069	0	0	0.0106850090270051	0	0.00178395313135787	0	9999	-0.0326603189431201	1.10451592326148	0.1
BS_ERWT0ZWE	0.00673795439342749	0	0	0	0	0.0440039450766866	0	0.0213960224627302	0	0	0	0.0173451348666097	0.00995243082097621	0.0366646083505061	0.000163767564754819	0.0370292151168777	1.49984057900176e-05	0	0.116062478023157	0	0.000629444918484198	0	9999	-0.0377477382841521	1.12258253215207	0.29
BS_FCAKKZ20	0.0394465580523505	0	0.00406018267191055	0	0.00109715702692867	0.00773068633602894	0	0.00521931441030455	0.000143872986576801	0.00751248838228164	0	0.0132898690789065	0.000726442629802677	0.036471054042091	0.00408721610985836	0.0906305172466366	0	0	0.139584641026323	0	0	0	9999	-0.0329432136385638	1.12675642151728	0.35
BS_FKDQJJB5	0.000667066128176726	0	0	0.0133630456248362	0	0.0818824600786196	0	0.00119928609739299	0	0	0	0.0231560025303285	0.0272178939548307	0.0221733884188257	0.00800879624972171	0.0189670615565443	0.00261096294139978	0	0.0493013406555314	0	0.0114526957637925	0	9999	-0.0576517076432104	1.10570222693478	0.26
BS_G00FHF3Q	0.00116175758064919	0	0.000244792555749535	0	0	0.0942482483453882	0	0.0190931807296962	0.00972837071239407	0	0.00107201425617467	0.0301197078731925	0.0326768479919447	0.0193759489322886	0.00237285847919746	0.0585286133781589	0.004533169364815	0	0.0828696576753462	0	0.00397483212500469	0	9999	-0.0321360129036936	1.09429046276925	0.36
BS_GCQFGDTX	0.0173940237205165	0	0.0123466378444498	0	0.00753207634771853	0.00283763513445082	0	0.0181776523048217	0	0	0	0.0110280283488172	0.00643610262100294	0	0	0.0953000931306404	0	0	0	0.0385560944332749	0.00289851708641538	0.00749313902789174	9999	-0.0545376233401153	1.1253673495972	0.22
BS_GE2RVZE6	0	0	0	0	0.00434444134710036	0.00624137407072667	0	0.0215450389210417	0.00379412459675938	0	0	0.0112387356422982	0.00778896742625848	0	0.00070499738131925	0.118591900085267	0	0	0.0257504205292289	0	0	0	9999	-0.0428001367378768	1.12840046530774	0.2
BS_GNV89A5P	0	0	0.00083796941074961	0	0	0.0485222201507692	0	0.015105873686559	0	0	0	0.0152146984649545	0.00556067719823996	0	0	0.0747585610887277	0	0	0	0	0	0	9999	-0.0293848269772082	1.11926403198975	0.16
BS_GS1KR5PK	0	0.00366296684638968	0	0	0	0.0274791331358104	0	0.0578206036383302	0	0	0	0.0292306927841231	0.0129210050052464	0.0254727084337117	0	0.0353880338352916	0	0	0.0472244836645147	0	0.000800372656582298	0	9999	-0.0749144643177432	1.11840290642474	0.24
BS_H4B5Y6S0	0.00602746017744673	0	0.00065279950902599	0	0.00785165785298069	0.10720563717648	0	0.0435686475187342	0.00264839972700137	0	0	0.00799990330419303	0.0210243381105192	0.0152742767728116	0.00361977277426424	0.0168478453543847	0	0	0.040811278910906	0	0.00646798281125215	0	9999	-0.0453679496988537	1.11867959920485	0.28
BS_HB03GSHF	0.00254836592377722	0	0.00733798484988739	0	0	0.0302598645802635	0	0.0268058859204353	0.00152594058296871	0	0	0.0246211470320743	0.0296477320646136	0.0468560716275559	0.0021603081455728	0	0.0091060369895345	0	0.0237663189722048	0	0	0.045364343311112	9999	-0.0393703246433301	1.11339915159157	0.25
BS_HD4EJYE3	0	0	0	0.0236270054323728	0	0.0717549380899866	0	0.0283652139462052	0.0202104220884342	0	0	0.0168973227162844	0.0351218978446459	0.0100317460175454	0.00560400512813652	0.0231406993205833	0	0	0.0131361169618502	0	0.00211063245395521	0	9999	-0.0349431617512951	1.11827558595727	0.25
BS_HE57E1RP	0	0	0.000983759917006182	0.0185341817507038	0	0.0188698784847034	0	0.0199616587759865	0.00170670433573597	0	0	0.00500955695773468	0	0.114337686914552	0	0	0	0	0.0405965728635771	0	0	0	9999	-0.0258611907307513	1.15214761439261	0.22
BS_HF3RNN2T	0.00638542823075537	0	0	0.0785143114087144	0	0.0615911367022006	0	0.00396521266359877	0	0	0	0.0145741498075317	0.0467231064619212	0	0	0.0876240484942987	0	0	0.0169364261664627	0	0.00368618006451672	0	9999	-0.0428791072913095	1.11087259391997	0.32
BS_HHPA8NJ2	0.0290695863822016	0	0.000871637569448364	0.0401382966885431	0	0.0820159919835731	0	0.0417108986799655	0	0	0	0.0215469110581628	0.030341410713279	0	0.00268573709423192	0.240302130829122	0	0	0	0	0	0.0113173990014726	9999	-0.0336839247307433	1.11119480582937	0.5
BS_HKZENFDA	0	0.00413790369543293	0.00136740609595335	0	0.0184606165371498	0.00660835879515845	0	0.0160367158285259	0	0	0.00803912767610573	0.00910571317341024	0.0199112807194568	0	0.000687156356755554	0.0732594629206465	0	0	0	0.0036647655331516	0.00872149266825314	0	9999	-0.0413912729806195	1.10650403100928	0.17
BS_HTEPAKCM	0	0	0.00060802833090101	0	0	0.0461308656561992	0	0.0142818780339095	0	0	0	0.0222391950124735	0.00988490760999938	0	0	0.100204690459637	0	0	0	0.0166089326770036	0.0100415022198771	0	9999	-0.0327254904561596	1.11437250924688	0.22
BS_HZE3KYZ1	0	0.000231114056422059	0	0.149446706478769	0	0.0204682105673209	0	0.00726169644309544	0	0	0	0.000875199680057365	0.12062764031251	0.0186927789470357	0.00434648480704113	0.0392196054873902	0	0	0.0260154833838421	0	0.00789110312382477	0.0149239767126911	9999	-0.0624407266061849	1.12624529857981	0.41
BS_HZRM07TW	0.0050775004482545	0.00356968069198168	0.013940455033192	0.0483470292412164	0	0.0700958941698947	0	0.00334325960975283	0.0111572558515831	0	0.0129601772444045	0.0036814538560664	0.0152846541876153	0	0.0043029195332768	0.166876480846437	0	0	0.0213632392863248	0	0	0	9999	-0.0532510875785809	1.10832817838316	0.38
BS_J1AB8PMA	0.00673877905909086	0.00899981594800844	0.100563285591122	0.021474133720919	0	0	0	0.040700439025818	0.0156022621459411	0.00315388865550057	0	0.0232631659988896	0.00410725993607151	0.367404464871534	0.024871227342059	0.573034783753311	0	0	0.026426554647369	0	0	0.00365993930436648	9999	0.155052875297458	1.06903076638417	1.22
BS_J71N7D09	0	0.0538316039881901	0	0.0152863827480944	0.0100011533553252	0	0	0.0507402853072065	0	0	0.0178933349110164	0	0.0102213616242114	0	0	0.0608395817183535	0	0	0	0.0411862963476025	0	0	9999	-0.0875429479600188	1.12210932300092	0.26
BS_J8G4SH4Z	0.00508898885124177	0	0.00169678262123053	0.0152241690197577	0	0.0260583907532284	0	0.00647524971871358	0	0	0	0.0211239010963517	0.00329929110430585	0	0	0.0881440060429333	0	0	0.0228892207922371	0	0	0	9999	-0.0302012504207463	1.10652832958214	0.19
BS_JFB984RG	0	0.0187800263075148	0	0.00384721041997655	0	0.00712822940201736	0	0.0287230093808182	0	0	0	0.00601218715866367	0.00479667751021014	0	0	0.0803163406317409	0	0	0	0.0374165120864278	0.00589115855202746	0.00708864855060318	9999	-0.0596476054647059	1.12293007918343	0.2
BS_JR5ATB7G	0.0323288805626945	0	0.0129367936783388	0.0332401039925873	0	0.0633936647639514	0	0.0114050278440623	0	0	0	0.0351646287925819	0.103660775595946	0	0	0.192679411158128	0	0.00432179463025555	0	0.0812814373759877	0.00741492857225457	0.0821725530332115	9999	-0.0238267140248187	1.1071070503271	0.66
BS_JT82QGXF	0.00896309597653408	0	0	0	0	0.231466155966832	0	0.141471587932001	0.00360610472812021	0	0.0706880345944678	0.0010129323755771	0.0720613148619867	0.0346828047216338	0.000877277154928802	0	0	0	0	0	0	0.0951706916879189	9999	-0.0296751416792909	1.1378881439551	0.66
BS_JTMXAMB7	0.00353410226416077	0	0	0	0	0.027282003361554	0	0.00685098012191066	0	0	0	0.0110246885821863	0.00458478061168531	0	0	0.109946350032208	0	0	0.049895810658975	0	0.000266349122893526	0.00661493524442638	9999	-0.0245950867696952	1.1102939669713	0.22
BS_JZRM1S3T	0	0.00351454433479285	0	0.00596129168552108	0	0.00556468089745582	0	0.00694199746466419	0.00545583122127809	0	0	0.00485151551868971	0.00334492226855135	0.0590640652208698	0.00156219770311502	0.0418611305777141	0.00326606991011187	0	0.143177061569629	0	0.00543469162760706	0	9999	-0.0340050802993482	1.15983716742441	0.29
BS_K3ER45RV	0	0	0	0.0226159753633979	0	0.0115206551476713	0	0.0247912848769417	0	0	0	0.00638098826496055	0.0106208467454719	0.0151282602208729	0.000788218394124438	0.0173086474179037	0	0	0.0177317493774168	0	0.00311337419123893	0	9999	-0.0506013289943064	1.10677048734586	0.13
BS_K74PZET7	0	0.00255828142802222	0	0.00633246904060591	0	0.0103618150328164	0	0.0186943479877348	0	0	0	0.00836744260109632	0.00595227677065768	0	0	0.0636199639922597	0	0	0.00376294065747266	0	0.000350462489334306	0	9999	-0.0438355164949173	1.12130523790355	0.12
BS_K81DR8XG	0.0552452196704393	0	0.013269277080994	0.00209756665902104	0	0.0480186279038386	0	0.0456702471539306	0	0	0.0304906487484461	0	0.0280651431675926	0.0515216718149915	0	0.118363924549928	0	0	0	0.000194533475666871	0	0.0370631397751517	9999	-0.0396202929787643	1.1024307799742	0.43
BS_KN92S7YQ	0.000665099847780271	0.00233786337089942	0	0.0231434445626374	0	0.0588978793305868	0	0.0413494013900196	0.000763662718802098	0	0	0.0174749087722858	0.0277451761259631	0.11421567178268	0.000448326185085906	0.117483176380723	0	0	0.0622425737470238	0	0.0132328157855129	0	9999	-0.018953894849442	1.10023874749698	0.48
BS_KVNGNETA	0	0	0	0.0118658371866527	0	0.0472438979634165	0	0.0272189524366207	0.00774431033932525	0	0	0.00624768738116244	0.0248400577079394	0.052612249528942	0	0.0194803775685974	0.000767278608770017	0	0.0619793512785735	0	0	0	9999	-0.020870714212138	1.09579364511932	0.26
BS_KYF0Q0E7	0	0	0.00123701334527725	0	0	0.0638879102381808	0	0.0334908779434138	0	0	0	0.0195768384550518	0	0.00772901842339219	0	0.0143827415470232	0	0	0.0308754553374054	0	0	0.0188201447102556	9999	-0.0273531556018904	1.11676817466498	0.19
BS_M15PW2N0	0.0492782373569685	0	0.0379744393190907	0.00229773289877338	0	0.00540053566453982	0	0.00704400453856533	0	0	0	0.00405877903131251	0.00219549196869301	0	0	0.133249668593277	0	0.00121507931324305	0.0172860313155363	0	0	0	9999	0.19876563860546	1.03114627626073	0.26
BS_M84H3KXA	0.0118713267221667	0	0	0.0213396327689675	0.00411010494454494	0.0130663996085887	0	0.000105290028552113	0	0	0	0	0.00597440235604403	0	0	0.209431977969738	0	0	0.00410086560139831	0	0	0	9999	-0.0370061561357411	1.17019247731758	0.27
BS_M86ECPHK	0.0019778208198004	0.0013987743272573	0.0106783978392777	0.0218914275720873	0	0.0339572356146569	0	0.0663396005661879	0.00225813847126841	0	0	0.00555213637421272	0.0229483797934027	0.0556936230512414	0	0.0150829644954311	0	0	0.0416995000869888	0	0.000522000988187241	0	9999	-0.0372361971193521	1.10105026429259	0.28
BS_N4B1SZZH	0.113612910878451	0	0	0	0.056587352404931	0.00934915489115132	0	0.00157967770093963	0	0.00237118002431305	0.0204370226417062	0	0.0911489269901158	0.0131523920527338	0	0.407780937207168	0	0	0	0.0152135643068027	0	0.298766880901687	9999	-0.014476913262963	1.15353358368659	1.03
BS_NKEAAFMW	0.00174456265299814	0.00249238254195203	7.4679749342878e-05	0.0589888558559554	0	0.0334166172180445	0	0.00535674140354776	0.0127490667353885	0	0	0.0286600312566893	0.0122346253770811	0.0228133419703611	0.00671019119230605	0.0441499222074751	0.00552444850077964	0	0.0346147510075468	0	0.0104697823305318	0	9999	-0.0284962179003824	1.09984650765488	0.28
BS_NKRYMHEP	0	0	0.000788386618315033	0	0	0.0568810515991591	0	0.0145267458422604	0	0	0	0.0115046212621766	0.00907909121111725	0	0	0.0321471321148556	0	0	0.0131328292367643	0	0.0019401421153518	0	9999	-0.0259667548308476	1.10738157310117	0.14
BS_NZ71XCG3	0.00631858102001559	0.00187388878416627	0	0.0603253041484843	0	0.162074029977427	0	0.033244087452349	0	0	0.00852428813732787	0.0649516583448729	0.0969533577374723	0.028051541114735	0.000360325012196843	0	0	0	0	0.0032200527685036	0	0.0341028855024497	9999	-0.0262348333533499	1.13715026114524	0.5
BS_QEYPFYHD	0	0.0022574389996864	0	0.0184235007647615	0	0.00820534305213359	0	0.0281509140373859	0	0	0	0.0195950297505394	0.0226620076926759	0	0.00208366709754365	0.0782445104279753	0	0	0	0.0971008637654354	0	0.013276724411863	9999	-0.0434237464755133	1.158512889743	0.29
BS_QPPPGYP4	0.000491028872784192	0	0	0.0388559626032674	0	0	0	0.0366048124374045	0.00452313055951357	0	0	0.0168659573538672	0.026126084380411	0.0157824358680102	0.000653450856120587	0.00541264209794396	0	0	0.0244467053346333	0	0.000237789636044101	0	9999	-0.0495765268961363	1.12052751747006	0.17
BS_QRDT19KS	0.000273704353896507	0	0	0.0314958376457512	0	0.0463340619700624	0	0.0273956179961191	0	0	0	0.00763354542168855	0.00987772161248187	0	0.000217948247942351	0.100904894424097	0	0	0.0258666683279607	0	0	0	9999	-0.0523324552517354	1.11203244825766	0.25
